,City,Latitude,Longitude,Tempature,Humidity,Cloudiness,Windspeed,Date of Weather
267,Port Augusta,-32.5,137.7667,56.71,38,9,16.31,2021-09-11
268,Rocha,-34.4833,-54.3333,51.64,97,54,7.25,2021-09-11
269,Arona,28.0996,-16.681,73.31,87,0,5.75,2021-09-11
270,Myitkyina,25.3833,97.4,72.86,99,75,0.69,2021-09-11
271,Deolāli,19.95,73.8333,72.46,97,100,9.57,2021-09-11
272,Borovichi,58.3878,33.9155,54.09,94,94,1.99,2021-09-11
273,Solnechnyy,50.7214,136.6319,47.08,98,100,8.14,2021-09-11
274,Hong Kong,22.2855,114.1577,87.96,85,35,8.52,2021-09-11
275,Kailua,21.4022,-157.7394,85.41,67,40,4.61,2021-09-11
276,Wamba,8.9333,8.6,72.61,96,29,0.94,2021-09-11
277,Wajir,1.7471,40.0573,74.28,67,24,16.96,2021-09-11
278,Fort Nelson,58.8053,-122.7002,65.79,39,75,11.5,2021-09-11
279,Pisco,-13.7,-76.2167,61.02,82,0,16.11,2021-09-11
280,Najrān,17.4924,44.1277,79.45,21,50,3.96,2021-09-11
281,Sorong,-0.8833,131.25,80.73,79,82,1.66,2021-09-11
282,Torit,4.4133,32.5678,69.08,90,85,2.06,2021-09-11
283,Port Lincoln,-34.7333,135.8667,55.17,54,34,27.42,2021-09-11
284,Anshun,26.25,105.9333,68.29,87,42,2.28,2021-09-11
285,Kununurra,-15.7667,128.7333,76.98,61,1,1.14,2021-09-11
286,Kėdainiai,55.2883,23.9747,54.07,72,75,7.27,2021-09-11
287,Bosaso,11.2842,49.1816,91.85,44,37,9.26,2021-09-11
288,Aripuanã,-9.1667,-60.6333,76.78,76,55,1.32,2021-09-11
289,Mahenge,-8.6833,36.7167,60.06,79,11,2.42,2021-09-11
290,Mercedes,-34.6515,-59.4307,61.18,88,76,11.99,2021-09-11
291,Mount Isa,-20.7333,139.5,80.37,21,11,1.14,2021-09-11
292,Port Hedland,-20.3167,118.5667,69.85,88,0,5.75,2021-09-11
293,Hanzhong,33.0728,107.0303,69.62,91,40,1.9,2021-09-11
294,Ambulu,-8.345,113.6058,74.64,95,100,2.44,2021-09-11
295,Te Anau,-45.4167,167.7167,46.18,96,94,5.59,2021-09-11
296,Vestmannaeyjar,63.4427,-20.2734,50.74,81,38,5.66,2021-09-11
297,Waingapu,-9.6567,120.2641,81.63,65,64,6.51,2021-09-11
298,Seoul,37.5683,126.9778,70.99,78,40,3.44,2021-09-11
299,Kinston,35.2627,-77.5816,75.38,54,0,0.83,2021-09-11
300,Nanortalik,60.1432,-45.2371,40.78,74,100,19.44,2021-09-11
301,Geraldton,-28.7667,114.6,50.41,76,0,8.05,2021-09-11
302,Kloulklubed,7.0419,134.2556,75.7,72,100,7.4,2021-09-11
303,Gigmoto,13.7796,124.39,84.61,73,100,10.54,2021-09-11
304,Manyana,-23.4,21.7167,57.79,27,0,8.79,2021-09-11
305,Kibaya,-5.3,36.5667,54.14,91,2,4.72,2021-09-11
306,Abbeville,50.1,1.8333,62.56,94,98,6.11,2021-09-11
307,Victor Harbor,-35.5667,138.6167,55.0,57,40,1.99,2021-09-11
308,Grodków,50.6984,17.3845,62.33,82,80,2.95,2021-09-11
309,Moengo,5.6167,-54.4,76.73,85,11,5.21,2021-09-11
310,Ambilobe,-13.2,49.05,66.81,61,98,5.44,2021-09-11
311,Ucluelet,48.9329,-125.5528,65.05,96,100,3.76,2021-09-11
312,Constitución,-35.3333,-72.4167,51.71,88,100,22.7,2021-09-11
313,Henties Bay,-22.116,14.2845,53.85,79,2,6.2,2021-09-11
314,Lavrentiya,65.5833,-171.0,43.14,77,77,9.91,2021-09-11
315,Merauke,-8.4667,140.3333,80.85,78,98,8.37,2021-09-11
316,Ahipara,-35.1667,173.1667,59.52,60,19,7.02,2021-09-11
317,Lanzhou,36.0564,103.7922,56.48,64,0,2.86,2021-09-11
318,Itarema,-2.9248,-39.9167,78.13,83,16,15.3,2021-09-11
319,Katobu,-4.9408,122.5276,78.89,87,87,4.74,2021-09-11
320,Forsytheganj,52.6333,29.7333,55.8,78,83,2.57,2021-09-11
321,Saint Anthony,45.0205,-93.218,75.81,51,1,1.01,2021-09-11
322,Kangaatsiaq,68.3065,-53.4641,34.14,62,1,7.27,2021-09-11
323,Marratxí,39.6421,2.7539,72.72,84,20,1.01,2021-09-11
324,Tautira,-17.7333,-149.15,82.42,65,41,12.08,2021-09-11
325,Katsuura,35.1333,140.3,75.31,88,100,5.73,2021-09-11
326,Pangnirtung,66.1451,-65.7125,33.96,49,2,4.56,2021-09-11
327,Kushiro,42.975,144.3747,61.75,100,75,10.36,2021-09-11
328,Souillac,-20.5167,57.5167,71.98,73,40,16.11,2021-09-11
329,Fes,34.0372,-4.9998,73.65,37,0,5.75,2021-09-11
330,Yerbogachën,61.2767,108.0108,46.33,69,100,1.36,2021-09-11
331,Kutum,14.2,24.6667,75.74,63,36,2.62,2021-09-11
332,Simao,22.7886,100.9748,64.53,76,0,0.31,2021-09-11
333,Pringsewu,-5.3582,104.9744,75.92,91,85,2.19,2021-09-11
334,Nizhniy Kuranakh,58.8353,125.4869,53.73,72,2,1.34,2021-09-11
335,Bintulu,3.1667,113.0333,77.41,94,20,2.3,2021-09-11
336,Saint George,37.1041,-113.5841,99.63,19,1,8.99,2021-09-11
337,Belyy Gorodok,56.965,37.5125,55.99,95,81,3.94,2021-09-11
338,Adjumani,3.3779,31.7909,65.97,97,81,2.28,2021-09-11
339,Esperance,-33.8667,121.9,51.64,57,95,9.35,2021-09-11
340,Aleksandrovsk-Sakhalinskiy,50.8975,142.1561,49.71,90,100,19.77,2021-09-11
341,Pevek,69.7008,170.3133,29.98,75,100,14.7,2021-09-11
342,Salinópolis,-0.6136,-47.3561,79.65,80,9,12.03,2021-09-11
343,Dodoma,-6.1722,35.7395,62.98,69,3,7.72,2021-09-11
344,Buala,-8.145,159.5921,84.7,68,37,11.68,2021-09-11
345,Mutatá,7.2441,-76.4356,75.7,96,100,0.51,2021-09-11
346,Rio Verde de Mato Grosso,-18.9181,-54.8442,87.51,29,24,2.66,2021-09-11
347,Portland,45.5234,-122.6762,82.98,43,20,1.99,2021-09-11
348,Mbarara,-0.608,30.65,63.93,65,39,3.11,2021-09-11
349,Brae,60.3964,-1.353,51.71,68,100,16.93,2021-09-11
350,Brookings,44.3114,-96.7984,75.61,46,1,13.8,2021-09-11
351,Turiaçu,-1.6633,-45.3717,75.61,91,21,5.59,2021-09-11
352,San Policarpo,12.1791,125.5072,83.05,81,100,9.1,2021-09-11
353,Asadābād,34.7824,48.1185,65.26,21,0,1.45,2021-09-11
354,Vardø,70.3705,31.1107,42.91,73,91,9.89,2021-09-11
355,Elk City,35.412,-99.4043,93.42,26,1,13.8,2021-09-11
356,Karratha,-20.7377,116.8463,75.81,33,0,13.47,2021-09-11
357,Normandin,48.8333,-72.5321,66.51,59,93,10.36,2021-09-11
358,Iquique,-20.2208,-70.1431,59.04,74,83,1.52,2021-09-11
359,Barranca,-10.75,-77.7667,60.94,88,95,9.24,2021-09-11
360,Ruska Poliana,49.417,31.9201,61.25,62,85,3.31,2021-09-11
361,Norman Wells,65.282,-126.8329,59.04,72,75,2.3,2021-09-11
362,Aitape,-3.1374,142.3475,84.51,67,70,4.52,2021-09-11
363,Seydi,39.4816,62.9137,63.0,18,0,10.27,2021-09-11
364,Hofn,64.2539,-15.2082,52.81,64,15,7.43,2021-09-11
365,Bodden Town,19.2833,-81.25,86.0,79,20,4.0,2021-09-11
366,Rome,43.2128,-75.4557,70.9,64,15,1.99,2021-09-11
367,Kinshasa,-4.3246,15.3215,75.52,83,20,5.75,2021-09-11
368,Uglovskoye,51.3557,80.1942,53.47,84,100,8.21,2021-09-11
369,Maxixe,-23.8597,35.3472,64.62,76,25,4.74,2021-09-11
370,Mossamedes,-15.1961,12.1522,67.3,92,69,4.74,2021-09-11
371,Umm Hājar,13.2954,19.6966,74.88,79,100,6.46,2021-09-11
372,Mahibadhoo,3.7833,72.9667,82.2,72,93,7.38,2021-09-11
373,Ostrovnoy,68.0531,39.5131,38.68,86,86,16.17,2021-09-11
374,Acapulco de Juárez,16.8634,-99.8901,80.56,85,99,3.71,2021-09-11
375,George Town,5.4112,100.3354,77.9,89,20,0.0,2021-09-11
376,Praia,14.9215,-23.5087,77.54,94,75,8.05,2021-09-11
377,Evensk,61.95,159.2333,45.01,45,31,3.04,2021-09-11
378,Ulaanbaatar,47.9077,106.8832,44.73,76,20,15.66,2021-09-11
379,Hobyo,5.3505,48.5268,77.77,86,73,24.54,2021-09-11
380,Jiayuguan City,39.8167,98.3,62.33,36,100,5.93,2021-09-11
381,Qazanbulaq,40.6192,46.6519,70.7,61,0,3.51,2021-09-11
382,Lorengau,-2.0226,147.2712,84.92,66,59,9.42,2021-09-11
383,Buin,-33.7333,-70.75,55.44,81,100,7.54,2021-09-11
384,Coyhaique,-45.5752,-72.0662,46.35,81,90,3.44,2021-09-11
385,Coquimbo,-29.9533,-71.3436,60.53,55,75,8.05,2021-09-11
386,Eastbourne,50.7687,0.2845,61.18,84,99,5.01,2021-09-11
387,Dingle,10.9995,122.6711,80.24,83,100,1.77,2021-09-11
388,Bonthe,7.5264,-12.505,75.56,90,100,4.0,2021-09-11
389,Quatre Cocos,-20.2078,57.7625,71.71,77,58,20.8,2021-09-11
390,Noyabrsk,63.1994,75.4507,46.15,96,100,7.07,2021-09-11
391,Leningradskiy,69.3833,178.4167,28.99,92,100,22.21,2021-09-11
392,Biankouma,7.7391,-7.6138,67.37,98,100,1.01,2021-09-11
393,Santa Inês,-3.6667,-45.38,80.47,66,78,7.16,2021-09-11
394,Keetmanshoop,-26.5833,18.1333,74.32,23,24,8.05,2021-09-11
395,Lagoa,39.05,-27.9833,69.04,74,100,21.68,2021-09-11
396,Ous,60.9058,61.5186,33.22,94,10,6.02,2021-09-11
397,Kaeo,-35.1,173.7833,64.33,62,20,5.91,2021-09-11
398,Lander,42.833,-108.7307,81.1,19,20,15.64,2021-09-11
399,Novorozhdestvenskaya,45.8619,39.9542,67.68,48,100,8.1,2021-09-11
400,Apatity,67.5641,33.4031,34.12,86,39,2.39,2021-09-11
401,Sola,-13.8833,167.55,78.71,78,18,15.73,2021-09-11
402,Lake Havasu City,34.4839,-114.3224,108.07,18,1,1.99,2021-09-11
403,Charters Towers,-20.1,146.2667,73.35,59,80,11.88,2021-09-11
404,Edd,13.9297,41.6925,90.0,64,58,6.93,2021-09-11
405,Hay River,60.8156,-115.7999,58.98,67,75,9.22,2021-09-11
406,Comendador,18.8775,-71.7028,71.22,94,75,2.17,2021-09-11
407,Tabuk,17.4189,121.4443,74.95,95,100,4.79,2021-09-11
408,Semkhoz,56.2833,38.0667,59.09,93,43,4.25,2021-09-11
409,Flinders,-34.5833,150.8552,76.21,40,0,5.99,2021-09-11
410,Casma,-41.0082,-73.1244,51.4,96,100,12.53,2021-09-11
411,Oodweyne,9.4092,45.064,76.98,40,98,19.19,2021-09-11
412,Paphos,34.7667,32.4167,75.11,78,20,3.44,2021-09-11
413,St. George's,12.0564,-61.7485,82.08,78,20,9.22,2021-09-11
414,Vlašim,49.7063,14.8988,62.42,94,89,3.36,2021-09-11
415,Mezen',65.8522,44.24,35.96,92,41,7.11,2021-09-11
416,Porto-Novo,6.4965,2.6036,78.62,89,45,4.36,2021-09-11
417,Cadillac,44.2519,-85.4012,71.51,78,75,10.36,2021-09-11
418,Kavaratti,10.5669,72.642,81.88,79,100,20.76,2021-09-11
419,Mayo,38.8876,-76.5119,75.38,71,41,1.01,2021-09-11
420,Pakxan,18.3778,103.6601,74.82,96,100,2.64,2021-09-11
421,Trimbak,19.9333,73.55,68.16,98,100,6.46,2021-09-11
422,Coos Bay,43.3665,-124.2179,86.85,63,1,16.11,2021-09-11
423,Kiunga,-6.1219,141.2906,82.08,78,97,2.33,2021-09-11
424,Parrita,9.5201,-84.3225,84.81,89,100,2.66,2021-09-11
425,Plettenberg Bay,-34.0527,23.3716,58.66,91,97,3.06,2021-09-11
426,Mitsamiouli,-11.3847,43.2844,75.42,74,0,8.32,2021-09-11
427,Telimele,10.9167,-13.3333,69.93,98,100,1.97,2021-09-11
428,Huarmey,-10.0681,-78.1522,63.28,86,72,10.74,2021-09-11
429,Dwārka,22.2394,68.9678,80.8,87,100,15.5,2021-09-11
430,Manthani,18.65,79.6667,76.12,92,100,6.46,2021-09-11
431,Isiro,2.7739,27.616,63.64,99,35,1.72,2021-09-11
432,Dok Kham Tai,19.1624,99.9934,71.64,95,28,1.61,2021-09-11
433,Pala,9.3642,14.9046,73.45,88,66,1.14,2021-09-11
434,Faya,18.3851,42.4509,68.11,49,61,1.12,2021-09-11
435,Ban Nahin,18.2418,104.2122,76.23,96,100,1.97,2021-09-11
436,Ulladulla,-35.35,150.4667,74.3,39,0,11.32,2021-09-11
437,Tommot,58.9564,126.2925,52.77,71,3,1.97,2021-09-11
438,Ust'-Koksa,50.2696,85.6108,42.33,60,98,2.33,2021-09-11
439,Sassenberg,52.0,8.05,63.57,95,100,8.08,2021-09-11
440,Santa María del Monte,19.2878,-99.8228,52.38,86,98,3.13,2021-09-11
441,Russell,32.3502,-85.1999,83.48,65,1,4.61,2021-09-11
442,El Retén,10.6114,-74.2682,84.11,80,100,2.42,2021-09-11
443,Darhan,49.4867,105.9228,45.68,90,1,3.18,2021-09-11
444,Lawton,34.6087,-98.3903,91.63,32,1,14.97,2021-09-11
445,Tual,-5.6667,132.75,80.26,83,96,11.63,2021-09-11
446,Tessalit,20.1986,1.0114,93.09,16,61,8.48,2021-09-11
447,Monrovia,6.3005,-10.7969,77.29,87,100,7.11,2021-09-11
448,Enumclaw,47.2043,-121.9915,74.75,55,80,1.99,2021-09-11
449,Ketchikan,55.3422,-131.6461,55.87,94,90,14.97,2021-09-11
450,Cuenca,-2.8833,-78.9833,64.53,55,40,8.05,2021-09-11
451,Kupang,-10.1667,123.5833,82.98,65,20,6.91,2021-09-11
452,Lompoc,34.6391,-120.4579,83.41,75,1,11.5,2021-09-11
453,La Rioja,42.25,-2.5,62.49,53,97,5.73,2021-09-11
454,Kamenka,51.3223,42.7678,61.36,58,99,6.67,2021-09-11
455,Mangan,27.5167,88.5333,73.78,85,90,3.33,2021-09-11
456,Rawson,-43.3002,-65.1023,59.79,57,100,23.73,2021-09-11
457,Cockburn Town,21.4612,-71.1419,84.16,70,40,10.36,2021-09-11
458,Leamington,42.0549,-82.6062,80.01,80,33,21.99,2021-09-11
459,La Tuque,47.4334,-72.7824,68.25,52,92,10.36,2021-09-11
460,Angra dos Reis,-23.0067,-44.3181,71.56,92,99,0.72,2021-09-11
461,Tuban,-6.8976,112.0649,76.82,88,100,8.57,2021-09-11
462,Ono,34.85,134.9333,76.55,75,100,1.99,2021-09-11
463,Jodiya,22.6925,70.306,81.21,86,98,17.78,2021-09-11
464,Dzaoudzi,-12.7887,45.2699,75.09,78,20,4.61,2021-09-11
465,Kalininsk,51.5,44.4758,56.48,54,26,3.96,2021-09-11
466,Berlevåg,70.8578,29.0864,42.13,75,100,2.93,2021-09-11
467,Thurso,58.5927,-3.5259,52.05,85,100,14.29,2021-09-11
468,Husavik,66.0449,-17.3389,42.71,88,100,12.84,2021-09-11
469,Srednekolymsk,67.45,153.6833,38.05,51,100,5.03,2021-09-11
470,Bissau,11.8636,-15.5977,78.91,94,40,2.3,2021-09-11
471,Andenes,69.3143,16.1194,46.47,87,40,1.14,2021-09-11
472,Sept-Îles,50.2001,-66.3821,59.52,69,20,4.0,2021-09-11
473,Tulum,20.2167,-87.4667,83.98,90,99,8.16,2021-09-11
474,Oktyabr'skoye,43.0645,44.7417,59.14,100,93,2.24,2021-09-11
475,Mandalgovi,45.7625,106.2708,45.34,75,83,21.59,2021-09-11
476,Tilichiki,60.4667,166.1,42.49,48,82,23.31,2021-09-11
477,Hanyang,32.1371,105.5126,69.87,88,100,2.51,2021-09-11
478,Narodychi,51.2029,29.0823,57.29,67,88,2.75,2021-09-11
479,Province of Groningen,53.25,6.75,64.27,95,90,5.75,2021-09-11
480,Ouésso,1.6136,16.0517,69.62,99,99,3.36,2021-09-11
481,Trairi,-3.2778,-39.2689,77.97,78,15,12.39,2021-09-11
482,Kokopo,-4.352,152.2633,84.6,65,97,11.59,2021-09-11
483,Nālūt,30.3333,10.85,79.99,55,16,13.49,2021-09-11
484,Mildura,-34.2,142.15,57.07,54,40,10.36,2021-09-11
485,Yenagoa,4.9247,6.2642,75.72,95,98,2.75,2021-09-11
486,Athabasca,54.7169,-113.2854,67.03,74,96,8.16,2021-09-11
487,Acajutla,13.5928,-89.8275,79.02,84,97,3.04,2021-09-11
488,Whitianga,-36.8333,175.7,60.03,59,18,8.68,2021-09-11
489,Gamba,-2.65,10.0,75.47,86,100,7.81,2021-09-11
490,Winslow,35.0242,-110.6974,92.97,19,1,1.01,2021-09-11
491,Urambo,-5.0667,32.05,73.06,36,86,8.77,2021-09-11
492,Ābdānān,32.9926,47.4198,76.78,20,0,5.61,2021-09-11
493,Codrington,-38.2667,141.9667,50.25,78,76,12.26,2021-09-11
494,Macao,22.2006,113.5461,87.71,84,20,5.75,2021-09-11
495,Elizabeth City,36.2946,-76.2511,74.01,79,1,6.67,2021-09-11
496,Örnsköldsvik,63.2909,18.7153,51.62,100,90,4.61,2021-09-11
497,Trat,12.5,102.5,74.12,97,100,2.42,2021-09-11
498,Chipinge,-20.1883,32.6236,50.11,89,0,4.16,2021-09-11
499,Aksu,41.1231,80.2644,71.49,33,100,4.83,2021-09-11
500,Eydhafushi,5.1033,73.0708,82.83,71,100,12.08,2021-09-11
501,Conde,-7.2597,-34.9075,76.46,83,40,5.75,2021-09-11
502,Nanzhang,31.7765,111.8386,78.15,71,6,3.78,2021-09-11
503,Lydenburg,-25.0978,30.4597,41.27,57,0,0.58,2021-09-11
504,Cachoeira do Sul,-30.0392,-52.8939,56.44,89,0,5.61,2021-09-11
505,Zeya,53.75,127.2667,54.1,80,29,3.42,2021-09-11
506,Merzifon,40.8733,35.4631,53.06,76,40,4.61,2021-09-11
507,Mola di Bari,41.0609,17.0873,71.91,76,100,3.62,2021-09-11
508,Talnakh,69.4865,88.3972,43.72,91,100,11.88,2021-09-11
509,Nacala,-14.5428,40.6728,68.68,88,9,7.36,2021-09-11
510,Soke,13.598,-5.9386,79.41,67,85,6.82,2021-09-11
511,Allāpalli,19.4167,80.0667,74.41,97,89,0.56,2021-09-11
512,Sarkand,45.41,79.9186,58.41,22,1,8.25,2021-09-11
513,Laguna,38.421,-121.4238,98.06,25,1,3.0,2021-09-11
514,Sabang,5.8933,95.3214,81.84,75,100,15.95,2021-09-11
515,Sal Rei,16.1833,-22.9167,77.56,86,100,13.62,2021-09-11
516,Sur,22.5667,59.5289,86.99,59,79,3.02,2021-09-11
517,San Cristobal,7.7669,-72.225,73.58,88,100,2.53,2021-09-11
518,Bulungu,-4.55,18.6,75.85,66,98,4.68,2021-09-11
519,Tromsø,69.6496,18.957,35.62,87,0,1.14,2021-09-11
520,Somerset East,-32.7217,25.588,70.84,35,5,3.38,2021-09-11
521,Rypefjord,70.6333,23.6667,39.67,87,40,4.61,2021-09-11
522,Patancheru,17.5314,78.265,74.26,92,91,13.47,2021-09-11
523,Coffs Harbour,-30.3,153.1333,75.13,62,0,16.11,2021-09-11
524,Goundi,9.3627,17.366,72.61,94,99,5.48,2021-09-11
525,Necochea,-38.5473,-58.7368,55.04,86,100,15.93,2021-09-11
526,Manta,-0.95,-80.7333,74.98,78,75,11.5,2021-09-11
527,Carora,10.1755,-70.0827,83.34,47,100,10.42,2021-09-11
528,Dunmore Town,25.5,-76.65,85.1,70,4,14.0,2021-09-11
529,Ascension,30.2169,-90.9001,82.99,75,5,6.91,2021-09-11
530,Clarence Town,-32.5833,151.7833,78.85,22,0,11.77,2021-09-11
531,Namatanai,-3.6667,152.4333,84.58,65,88,5.88,2021-09-11
532,Rovaniemi,66.5,25.7167,40.41,70,0,4.61,2021-09-11
533,Viedma,-40.8135,-62.9967,62.58,61,100,18.97,2021-09-11
534,Badiraguato,25.3667,-107.5167,88.86,59,0,4.07,2021-09-11
